number,description,importance,duration,options,meta_category,volume,comments
,sunglasses,3,,sun,accessories,100,
,watch,2,,,accessories,100,
,black belt,0,,formal,belt,100,
,black trousers,0,3,,bottom,2000,
3,shorts,1,3,"exercise, hot",bottom,1000,
,long track trousers,2,5,exercise,bottom,2000,
,backpack,3,,,carry,3000,
,iphone,0,,,phone,200,"charger, additional battery, headphones"
1,proof of adress,3,,move,documents,20,
,medical insurance,3,,,documents,20,
,passport,1,,fly,documents,20,
,national id,0,,,documents,20,
,ticket/boarding pass,1,,fly,documents,20,
,travel card,2,,,documents,20,
,gloves,3,,cold,hands,200,
,hat,3,,cold,head,200,
,toouthbrush electric,0,,,toothbrush,200,
,toothbrush standard,2,,,toothbrush,200,
,towel,1,,,hygiene,1000,
,toothpaste,0,,,hygiene,200,
,shower gel,0,,,hygiene,200,
,nail clipper,1,,,hygiene,20,
,currency,0,,,money,20,
,bank card,0,,,money,20,
,black casual shoes,0,,,shoes,1000,
,black smart shoes,2,,formal,shoes,1000,
,dancing shoes party,1,,dance,shoes,1000,
,dancing shoes jazz,2,,exercise,shoes,1000,
,running shoes,1,,exercise,shoes,1000,
14,socks,0,1,,socks,100,
,swimming googles,3,,swim,sport equipment,20,
,navy suit,2,,formal,suit,2000,
3,tie,3,,formal,tie,200,
2,tshirt blue,1,1,,top,400,
2,tshirt black,1,1,,top,400,
,shirt black,1,1,,top,500,
,shirt white ,1,1,,top,500,
,shirt pink,1,1,,top,500,
,no sleeves tshirt,1,1,exercise,top,300,
,blue jacket,1,,smart,top_2,3000,
,white black jacket,1,,,top_2,3000,
,hoodie,1,7,fly,top_2,600,
,grey sweater,1,7,cold,top_2,600,
14,black underwear,0,1,,underwear,200,
,macbook,0,,work,laptop,2000,"charger, protection"
,kindle,0,,read,e-reader,300,
